0.0,0.0
0.0,1.66666
0.0,3.33332
0.0,4.99998
0.0,6.66664
0.0,8.3333
0.0,9.99996
0.0,11.66662
0.0,13.33328
0.0,14.99994
0.0,16.6666
0.0,18.33326
0.0,19.99992
0.0,21.66658
0.0,23.33324
0.0,24.9999
0.0,26.66656
0.0,28.33322
0.0,29.99988
0.0,31.66654
0.0,33.3332
0.0,34.99986
0.0,36.66652
0.0,38.33318
0.0,39.99984
0.0,41.6665
0.0,43.33316
0.0,44.99982
0.0,46.66648
0.0,48.33314
2.33333,0.0
2.33333,1.66666
2.33333,3.33332
2.33333,4.99998
2.33333,6.66664
2.33333,8.3333
2.33333,9.99996
2.33333,11.66662
2.33333,13.33328
2.33333,14.99994
2.33333,16.6666
2.33333,18.33326
2.33333,19.99992
2.33333,21.66658
2.33333,23.33324
2.33333,24.9999
2.33333,26.66656
2.33333,28.33322
2.33333,29.99988
2.33333,31.66654
2.33333,33.3332
2.33333,34.99986
2.33333,36.66652
2.33333,38.33318
2.33333,39.99984
2.33333,41.6665
2.33333,43.33316
2.33333,44.99982
2.33333,46.66648
2.33333,48.33314
4.66666,0.0
4.66666,1.66666
4.66666,3.33332
4.66666,4.99998
4.66666,6.66664
4.66666,8.3333
4.66666,9.99996
4.66666,11.66662
4.66666,13.33328
4.66666,14.99994
4.66666,16.6666
4.66666,18.33326
4.66666,19.99992
4.66666,21.66658
4.66666,23.33324
4.66666,24.9999
4.66666,26.66656
4.66666,28.33322
4.66666,29.99988
4.66666,31.66654
4.66666,33.3332
4.66666,34.99986
4.66666,36.66652
4.66666,38.33318
4.66666,39.99984
4.66666,41.6665
4.66666,43.33316
4.66666,44.99982
4.66666,46.66648
4.66666,48.33314
6.99999,0.0
6.99999,1.66666
6.99999,3.33332
6.99999,4.99998
6.99999,6.66664
6.99999,8.3333
6.99999,9.99996
6.99999,11.66662
6.99999,13.33328
6.99999,14.99994
6.99999,16.6666
6.99999,18.33326
6.99999,19.99992
6.99999,21.66658
6.99999,23.33324
6.99999,24.9999
6.99999,26.66656
6.99999,28.33322
6.99999,29.99988
6.99999,31.66654
6.99999,33.3332
6.99999,34.99986
6.99999,36.66652
6.99999,38.33318
6.99999,39.99984
6.99999,41.6665
6.99999,43.33316
6.99999,44.99982
6.99999,46.66648
6.99999,48.33314
9.33332,0.0
9.33332,1.66666
9.33332,3.33332
9.33332,4.99998
9.33332,6.66664
9.33332,8.3333
9.33332,9.99996
9.33332,11.66662
9.33332,13.33328
9.33332,14.99994
9.33332,16.6666
9.33332,18.33326
9.33332,19.99992
9.33332,21.66658
9.33332,23.33324
9.33332,24.9999
9.33332,26.66656
9.33332,28.33322
9.33332,29.99988
9.33332,31.66654
9.33332,33.3332
9.33332,34.99986
9.33332,36.66652
9.33332,38.33318
9.33332,39.99984
9.33332,41.6665
9.33332,43.33316
9.33332,44.99982
9.33332,46.66648
9.33332,48.33314
11.66665,0.0
11.66665,1.66666
11.66665,3.33332
11.66665,4.99998
11.66665,6.66664
11.66665,8.3333
11.66665,9.99996
11.66665,11.66662
11.66665,13.33328
11.66665,14.99994
11.66665,16.6666
11.66665,18.33326
11.66665,19.99992
11.66665,21.66658
11.66665,23.33324
11.66665,24.9999
11.66665,26.66656
11.66665,28.33322
11.66665,29.99988
11.66665,31.66654
11.66665,33.3332
11.66665,34.99986
11.66665,36.66652
11.66665,38.33318
11.66665,39.99984
11.66665,41.6665
11.66665,43.33316
11.66665,44.99982
11.66665,46.66648
11.66665,48.33314
13.99998,0.0
13.99998,1.66666
13.99998,3.33332
13.99998,4.99998
13.99998,6.66664
13.99998,8.3333
13.99998,9.99996
13.99998,11.66662
13.99998,13.33328
13.99998,14.99994
13.99998,16.6666
13.99998,18.33326
13.99998,19.99992
13.99998,21.66658
13.99998,23.33324
13.99998,24.9999
13.99998,26.66656
13.99998,28.33322
13.99998,29.99988
13.99998,31.66654
13.99998,33.3332
13.99998,34.99986
13.99998,36.66652
13.99998,38.33318
13.99998,39.99984
13.99998,41.6665
13.99998,43.33316
13.99998,44.99982
13.99998,46.66648
13.99998,48.33314
16.33331,0.0
16.33331,1.66666
16.33331,3.33332
16.33331,4.99998
16.33331,6.66664
16.33331,8.3333
16.33331,9.99996
16.33331,11.66662
16.33331,13.33328
16.33331,14.99994
16.33331,16.6666
16.33331,18.33326
16.33331,19.99992
16.33331,21.66658
16.33331,23.33324
16.33331,24.9999
16.33331,26.66656
16.33331,28.33322
16.33331,29.99988
16.33331,31.66654
16.33331,33.3332
16.33331,34.99986
16.33331,36.66652
16.33331,38.33318
16.33331,39.99984
16.33331,41.6665
16.33331,43.33316
16.33331,44.99982
16.33331,46.66648
16.33331,48.33314
18.66664,0.0
18.66664,1.66666
18.66664,3.33332
18.66664,4.99998
18.66664,6.66664
18.66664,8.3333
18.66664,9.99996
18.66664,11.66662
18.66664,13.33328
18.66664,14.99994
18.66664,16.6666
18.66664,18.33326
18.66664,19.99992
18.66664,21.66658
